epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
105,3346.22,1.45327,1.29664,1.54285,0.00561,1.30369,0.67163,0.49118,0.57246,0.34838,0.66442,0.4894,0.56771,0.2775,1.41872,1.24475,1.64237,0.00798,0,0.00123791,0.00123791,0.00123791
106,3377.46,1.49575,1.37723,1.6251,0.00602,1.35561,0.68639,0.52179,0.60546,0.36929,0.68226,0.52001,0.60651,0.28204,1.41866,1.24627,1.66666,0.00795,0,0.00123379,0.00123379,0.00123379
107,3408.95,1.475,1.35808,1.60225,0.00557,1.30782,0.60263,0.52106,0.52991,0.31764,0.6239,0.51321,0.53984,0.25043,1.41332,1.32148,1.83295,0.00815,0,0.00122966,0.00122966,0.00122966
108,3440.16,1.44836,1.342,1.63478,0.00572,1.33577,0.58484,0.51645,0.58764,0.36,0.57896,0.50803,0.57693,0.27175,1.3993,1.20637,1.63441,0.00775,0,0.00122554,0.00122554,0.00122554
109,3471.69,1.46203,1.28232,1.57373,0.0056,1.34164,0.50406,0.56858,0.55808,0.34726,0.49156,0.57684,0.55105,0.25017,1.40661,1.23737,1.71846,0.0078,0,0.00122141,0.00122141,0.00122141
110,3502.99,1.45164,1.31561,1.59071,0.00556,1.30742,0.6072,0.55418,0.60117,0.37919,0.61209,0.55596,0.59954,0.2956,1.35227,1.18026,1.67901,0.00746,0,0.00121729,0.00121729,0.00121729
111,3534.48,1.42641,1.26423,1.53631,0.00581,1.27001,0.54298,0.57577,0.56305,0.35962,0.56506,0.58675,0.57044,0.29498,1.38333,1.21197,1.60822,0.00777,0,0.00121316,0.00121316,0.00121316
112,3565.88,1.42569,1.27724,1.55267,0.00552,1.22913,0.65548,0.55738,0.59882,0.36393,0.63703,0.56026,0.59993,0.27306,1.37486,1.25017,1.53329,0.00758,0,0.00120903,0.00120903,0.00120903
113,3597.16,1.42488,1.2671,1.51669,0.00548,1.25249,0.56688,0.57213,0.54651,0.32385,0.56002,0.56641,0.5435,0.26301,1.3977,1.25937,1.70209,0.00783,0,0.00120491,0.00120491,0.00120491
114,3628.43,1.42319,1.28107,1.51139,0.00568,1.24898,0.56644,0.48777,0.50776,0.31016,0.55854,0.48152,0.5125,0.23961,1.41619,1.19908,1.97875,0.0079,0,0.00120078,0.00120078,0.00120078
115,3659.75,1.42877,1.298,1.55776,0.0056,1.2831,0.59318,0.55554,0.5773,0.34895,0.59275,0.56987,0.5879,0.28901,1.4059,1.22016,1.72338,0.00787,0,0.00119666,0.00119666,0.00119666
